,Name,BBG ticker
0,Gold Spot,XAU Curncy
1,UST2Y,USGG2YR Index
2,UST5Y,USGG5YR Index
3,UST10Y,USGG10YR Index
4,EEM,EEM US Equity
5,Crude Oil Cushing Spot,USCRWTIC Index
6,VIX,VIX Index
7,SPX,SPXT Index
8,SPX Banks,SPTR5BNK Index
9,SPX Real State,S5REAL Index
10,SPX Materials,SPTRMATR Index
11,SPX Energy,SPTRENRS Index
12,SPX Consumer,SPTRCOND Index
13,SPX Utilities,SPTR5UTL Index
14,SPX Staples,SPXEWCS Index
